"buffet_name","buffet_url","buffet_address","buffet_cuisine"
"普慶餐廳 The Astor","https://www.openrice.com/zh/hongkong/r-%E6%99%AE%E6%85%B6%E9%A4%90%E5%BB%B3-%E4%BD%90%E6%95%A6-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E8%87%AA%E5%8A%A9%E9%A4%90-r568323/buffet","佐敦彌敦道380號香港逸東酒店B1樓層","晚餐
午餐
下午茶
早餐"
"The Place","https://www.openrice.com/zh/hongkong/r-the-place-%E6%97%BA%E8%A7%92-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E6%B5%B7%E9%AE%AE-r12121/buffet","旺角上海街555號香港康得思酒店L樓層","西式
酒店餐廳"
"The Food Gallery","https://www.openrice.com/zh/hongkong/r-the-food-gallery-%E5%B0%96%E6%B2%99%E5%92%80-%E8%A5%BF%E5%BC%8F-%E8%87%AA%E5%8A%A9%E9%A4%90-r163873/buffet","尖沙咀北京道8號香港朗廷酒店大堂","西式
酒店餐廳"
"柏景餐廳 Café on the PARK","https://www.openrice.com/zh/hongkong/r-%E6%9F%8F%E6%99%AF%E9%A4%90%E5%BB%B3-%E5%B0%96%E6%B2%99%E5%92%80-%E8%A5%BF%E5%BC%8F-%E8%87%AA%E5%8A%A9%E9%A4%90-r2919/buffet","尖沙咀廣東道33號皇家太平洋酒店園景翼2樓","西式
酒店餐廳"
"尚廚 The Chef's Table","https://www.openrice.com/zh/hongkong/r-%E5%B0%9A%E5%BB%9A-%E5%B0%87%E8%BB%8D%E6%BE%B3-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E8%87%AA%E5%8A%A9%E9%A4%90-r114730/buffet","將軍澳唐德街3號香港九龍東皇冠假日酒店1樓","酒店餐廳"
"花月庭 La Scala","https://www.openrice.com/zh/hongkong/r-%E8%8A%B1%E6%9C%88%E5%BA%AD-%E6%97%BA%E8%A7%92-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E8%87%AA%E5%8A%A9%E9%A4%90-r1793/buffet","旺角太子道西193號帝京酒店2樓","西式
酒店餐廳"
"Bay's Kitchen & Bar","https://www.openrice.com/zh/hongkong/r-bays-kitchen-bar-%E8%8D%83%E7%81%A3-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E6%B5%B7%E9%AE%AE-r599720/buffet","荃灣汀九青山公路汀九段123號汀蘭居地舖","西式
酒店餐廳"
"灣景廳 Harbour Restaurant","https://www.openrice.com/zh/hongkong/r-%E7%81%A3%E6%99%AF%E5%BB%B3-%E7%81%A3%E4%BB%94-%E8%A5%BF%E5%BC%8F-%E8%87%AA%E5%8A%A9%E9%A4%90-r1086/buffet","灣仔港灣道4號灣景國際1樓","西式
酒店餐廳"
"聆渢咖啡廳 Cafe Lagoon","https://www.openrice.com/zh/hongkong/r-%E8%81%86%E6%B8%A2%E5%92%96%E5%95%A1%E5%BB%B3-%E5%B1%AF%E9%96%80-%E8%A5%BF%E5%BC%8F-%E8%87%AA%E5%8A%A9%E9%A4%90-r235/buffet","屯門香港青山公路1號香港黃金海岸酒店低層地下","晚餐
午餐
早餐"
"Mr. Steak Buffet à la minute","https://www.openrice.com/zh/hongkong/r-mr-steak-buffet-a-la-minute-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E8%87%AA%E5%8A%A9%E9%A4%90-r179934/buffet","銅鑼灣告士打道280號世貿中心6樓","西式"
"2+2 Café","https://www.openrice.com/zh/hongkong/r-2-2-cafe-%E6%B2%99%E7%94%B0-%E8%A5%BF%E5%BC%8F-%E8%87%AA%E5%8A%A9%E9%A4%90-r16683/buffet","沙田白鶴汀街8號帝都酒店3樓","西式
酒店餐廳"
"The Market","https://www.openrice.com/zh/hongkong/r-the-market-%E5%B0%96%E6%B2%99%E5%92%80-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E6%B5%B7%E9%AE%AE-r51055/buffet","尖沙咀科學館道17號唯港薈2樓","酒店餐廳"
"Three on Canton","https://www.openrice.com/zh/hongkong/r-three-on-canton-%E5%B0%96%E6%B2%99%E5%92%80-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E8%87%AA%E5%8A%A9%E9%A4%90-r107916/buffet","尖沙咀廣東道13號海港城港威酒店3樓","酒店餐廳"
"茶園 Tiffin","https://www.openrice.com/zh/hongkong/r-%E8%8C%B6%E5%9C%92-%E7%81%A3%E4%BB%94-%E8%A5%BF%E5%BC%8F-%E8%87%AA%E5%8A%A9%E9%A4%90-r6161/buffet","灣仔港灣道1號君悅酒店閣樓","西式
酒店餐廳"
"德福閣 Stanford Café","https://www.openrice.com/zh/hongkong/r-%E5%BE%B7%E7%A6%8F%E9%96%A3-%E6%97%BA%E8%A7%92-%E8%A5%BF%E5%BC%8F-%E8%87%AA%E5%8A%A9%E9%A4%90-r3254/buffet","旺角豉油街118號仕德福酒店閣樓","西式
酒店餐廳"
"Cafe, Hyatt Regency Tsim Sha Tsui","https://www.openrice.com/zh/hongkong/r-cafe-hyatt-regency-tsim-sha-tsui-%E5%B0%96%E6%B2%99%E5%92%80-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E8%87%AA%E5%8A%A9%E9%A4%90-r35459/buffet","尖沙咀河內道18號香港尖沙咀凱悅酒店大堂樓層","酒店餐廳"
